UserID	ItemID	rating
1	52241	5
2	52241	5
2	140919	5
3	52241	5
3	16685	5
3	140919	5
3	1727588	5
4	52241	5
5	52241	5
6	52241	4
7	52241	5
8	52241	5
9	52241	5
10	52241	5
11	52241	5
12	52241	5
13	52241	5
14	52241	5
15	52241	5
16	52241	5
16	61708	5
17	52241	5
17	67932	5
17	5073094	4
17	2482646	5
18	52241	5
19	52241	5
20	52241	5
21	52241	5
21	1412940	4
21	140919	3
22	52241	5
22	16702	5
22	1702901	5
22	1752927	5
22	16695	0
22	1829929	5
22	51983	5
22	5703049	5
22	1835523	3
22	5701007	5
22	1983228	1
23	52241	5
23	61403	5
23	61402	5
23	1815327	5
23	26931	5
23	140919	5
23	8960	5
23	8950	5
24	52241	5
24	16702	5
24	1697637	5
24	67932	5
24	141373	5
24	8950	5
25	52241	5
25	16685	4
26	52241	5
27	52241	5
27	140919	5
27	140868	5
27	8960	5
28	52241	4
28	1410446	5
29	52241	4
29	61403	5
29	61402	5
29	2479730	4
29	1949723	5
29	70713	5
29	140919	5
29	1727588	5
29	45024	5
29	16010	4
29	8953	5
29	8960	5
29	8950	5
30	52241	4
30	16012	4
30	8950	4
31	52241	5
31	67932	5
31	16671	5
31	1708506	5
32	52241	5
33	52241	4
34	52241	5
35	52241	5
36	52241	4
37	52241	5
37	16702	5
38	52241	5
38	144743	2
38	4728366	5
39	52241	5
40	52241	5
41	52241	4
41	16702	4
41	1971768	4
41	61708	4
41	1410446	4
41	67932	5
41	1412672	4
41	67933	4
41	1829929	5
41	61584	5
41	1412726	4
41	52423	5
41	8971	5
41	8964	4
41	8960	5
41	8950	5
42	52241	5
43	52241	4
44	52241	0
45	52241	5
46	52241	5
47	52241	3
47	16685	5
47	8950	4
48	52241	0
48	16702	5
48	61403	4
48	61402	5
48	11113	2
48	51637	5
48	51636	3
48	51640	0
48	2477660	0
48	144743	4
48	1412681	5
48	70543	5
48	61741	1
48	61708	5
48	4728366	5
48	67932	3
48	1412672	5
48	67739	2
48	2482646	0
48	16666	1
48	1408415	5
48	124771	3
48	16669	5
48	16671	4
48	16685	5
48	1983228	5
48	70713	5
48	4690344	5
48	70703	5
48	16021	5
48	45133	3
48	144732	5
48	135052	5
48	67935	4
48	45129	5
48	16010	4
48	16012	5
48	124736	4
48	135051	5
48	1830143	5
48	8953	5
48	8964	5
48	8960	3
48	113594	4
48	141373	4
48	8950	5
48	8955	4
48	1832806	5
49	52241	5
50	52241	5
51	52241	5
51	16702	4
52	52241	5
52	16702	4
52	1713059	5
52	5013350	1
52	1407706	5
53	52241	5
54	52241	5
55	52241	5
56	52241	5
57	52241	5
58	52241	3
58	16702	3
58	61403	3
58	61402	3
58	70543	3
58	133301	3
58	124771	3
58	4585364	3
58	1949723	3
58	61584	3
58	1412940	3
58	1412726	3
58	52423	3
58	140919	3
58	70703	3
59	52241	4
60	52241	3
61	52241	5
62	52241	4
63	52241	5
63	16702	5
64	52241	4
64	61403	4
64	61402	4
65	52241	5
66	52241	4
66	16702	4
67	52241	5
68	52241	5
69	52241	5
70	52241	5
70	16685	5
71	52241	4
71	16702	4
71	70543	5
71	1410446	4
71	8953	4
72	52241	5
72	67932	2
73	52241	5
74	52241	5
75	52241	5
76	52241	5
77	52241	3
77	16702	3
77	5013350	3
77	51640	4
77	61708	4
77	61697	3
77	1410446	3
77	16671	4
77	8960	5
77	141373	4
77	8950	4
78	52241	5
78	16702	5
78	51640	5
78	16695	5
79	52241	5
79	1412727	5
79	61402	5
79	51640	5
79	2477660	3
79	124739	5
79	45024	5
79	144732	4
79	8971	4
79	8953	5
79	8960	5
79	8950	5
80	52241	3
81	52241	3
81	1702901	3
81	16695	4
81	135052	4
81	45129	4
81	8960	5
81	8950	5
82	52241	5
82	16702	5
83	52241	5
84	52241	4
84	16702	4
84	70543	5
84	61708	4
84	8953	4
84	8964	4
84	8950	4
84	8959	4
85	52241	5
86	52241	3
87	52241	5
87	67932	4
87	16685	4
88	52241	4
89	52241	5
90	52241	4
90	51635	4
90	129090	1
90	51632	3
90	51640	4
90	61708	5
90	61697	3
90	1410446	5
90	67933	4
90	8950	5
91	52241	4
92	52241	4
92	16685	5
93	52241	5
94	52241	5
95	52241	4
96	52241	5
96	1407706	5
97	52241	5
98	52241	5
99	52241	5
100	52241	1
100	61402	5
100	1727588	5
101	52241	5
102	52241	5
103	52241	5
104	52241	5
105	52241	5
106	52241	5
107	52241	5
108	52241	3
109	52241	5
110	52241	2
111	52241	3
112	52241	3
113	52241	3
113	16702	4
114	52241	3
115	52241	5
115	16685	5
116	52241	5
116	136018	5
117	52241	5
118	52241	5
118	16702	4
118	52423	5
118	141373	5
118	8950	3
119	52241	4
119	4690344	5
120	52241	5
120	67932	3
121	52241	5
122	52241	5
123	52241	5
124	52241	5
125	52241	5
126	52241	5
127	52241	4
128	52241	5
128	61708	5
129	52241	5
130	52241	5
130	16702	5
131	52241	4
131	124771	5
131	8950	4
132	52241	4
133	52241	5
133	16702	5
133	51755	5
133	51635	5
133	61892	5
133	1708991	5
133	1412681	5
133	1685191	4
133	70543	5
133	133301	5
133	61708	5
133	61697	4
133	1410446	5
133	1702901	5
133	67932	5
133	1412672	4
133	1933092	5
133	16695	5
133	16666	4
133	144734	4
133	124771	4
133	69567	4
133	61584	4
133	1412940	3
133	26931	4
133	45133	5
133	45129	5
133	124736	5
133	8960	5
134	52241	5
135	52241	5
136	52241	3
137	52241	5
137	51740	5
138	52241	4
139	52241	5
140	52241	4
141	52241	4
142	52241	0
142	16702	0
142	61403	0
143	52241	3
143	16702	3
143	61402	4
144	52241	5
144	124771	5
145	52241	4
146	52241	5
147	52241	5
147	16702	4
148	52241	4
148	61402	4
148	51635	4
148	11113	5
148	51633	3
148	51637	2
148	51636	4
148	51632	4
148	51740	5
148	51753	4
148	61772	5
148	61741	4
148	61708	4
148	16695	5
148	16666	5
148	16669	5
148	16671	5
148	16685	5
148	51949	4
148	61584	4
148	52509	4
148	52503	4
148	52423	4
148	45025	4
148	16024	5
148	26931	4
148	45024	5
148	45133	2
148	16012	5
148	8971	5
148	8953	5
148	8964	5
148	8960	5
148	141373	5
148	8950	5
148	8955	5
148	8959	5
149	52241	5
