52241	0
16702	1
61403	2
134730	3
1679973	4
1412727	5
61402	6
51755	7
5067187	8
5073062	9
1713059	10
51635	11
5013350	12
5706541	13
11113	14
1740767	15
51633	16
51637	17
129090	18
51636	19
51632	20
51740	21
51640	22
51753	23
2676337	24
1832340	25
1834284	26
61904	27
61892	28
2477660	29
1697637	30
61906	31
68014	32
2601078	33
68015	34
69540682	35
70496	36
2716478	37
68047	38
2479730	39
1412693	40
68017	41
144738	42
133302	43
1708991	44
1413697	45
1836749	46
61781	47
144743	48
1478515	49
1407373	50
1971768	51
1412681	52
137587	53
1685191	54
1414102	55
70523	56
5707995	57
1412694	58
1412675	59
2021759	60
4960342	61
136018	62
70543	63
1412141	64
70484	65
133301	66
61772	67
140866	68
61741	69
1412662	70
61708	71
61697	72
61886	73
4592504	74
1410446	75
1702901	76
1975316	77
1752927	78
4275381	79
1696502	80
4728366	81
67932	82
1412672	83
1933092	84
141268	85
67933	86
67739	87
1713065	88
52246	89
1951089	90
5073094	91
5715379	92
1407706	93
2482646	94
1727648	95
52140	96
16695	97
134788	98
1983262	99
5542479	100
5262432	101
1829929	102
144735	103
1985838	104
16666	105
144734	106
5702794	107
2479829	108
51983	109
1512361	110
1704156	111
5703049	112
1413293	113
1835523	114
5701007	115
1408330	116
1408415	117
140865	118
124771	119
69567	120
16669	121
16671	122
16685	123
4600266	124
51921	125
51949	126
1929889	127
4585364	128
1713176	129
135372	130
5592369	131
61589	132
1983228	133
69544654	134
1511958	135
1949723	136
1713128	137
61584	138
1412940	139
1412726	140
52509	141
1483015	142
1829376	143
52503	144
52516	145
52423	146
1507853	147
1832614	148
135577	149
1678401	150
1727567	151
70713	152
1678602	153
45025	154
1680131	155
1680166	156
68183	157
5015404	158
16024	159
110153	160
2475457	161
4707347	162
124751	163
1412117	164
1680291	165
1815327	166
1701408	167
26931	168
16019	169
1713084	170
144741	171
4690344	172
1990220	173
140919	174
45039	175
1832866	176
1727588	177
68182	178
68178	179
124739	180
1908811	181
124746	182
70703	183
45024	184
16021	185
136077	186
145044	187
16019	188
4470405	189
45133	190
144732	191
5656404	192
3239897	193
1411901	194
135052	195
67935	196
2493431	197
1709251	198
45129	199
16010	200
16012	201
124736	202
135051	203
45140	204
1830143	205
5708419	206
1708558	207
140868	208
140867	209
70447	210
8971	211
8953	212
8964	213
4724352	214
2478299	215
5596417	216
2485297	217
1487545	218
8960	219
69092147	220
1708506	221
113594	222
67834275	223
136017	224
141373	225
5551403	226
8950	227
8955	228
8959	229
8954	230
8949	231
1708597	232
1832806	233
